,ID,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
168,6637,Postgraduate,Alone,No child,No child,Stars,Adult,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
169,3152,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
170,5610,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
171,6460,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
172,1349,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
173,1880,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
174,641,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Frequent consumer
175,8717,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
176,10314,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Old customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
177,10854,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
178,10492,Postgraduate,In couple,Has child,3 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
179,6935,Undergraduate,In couple,No child,No child,Stars,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
180,7698,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Medium to high income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
181,3559,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
182,10562,Postgraduate,In couple,No child,No child,Stars,Senior,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
183,10796,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Frequent consumer
184,2563,Undergraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
185,3518,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
186,5823,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
187,3934,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
188,6982,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
189,6431,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
190,9733,Undergraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Frequent consumer
191,5602,Postgraduate,In couple,No child,No child,Need attention,Adult,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
192,7829,Undergraduate,Alone,Has child,1 child,Leaky bucket,,Low to medium income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
193,1324,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
194,326,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
195,7224,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
196,6999,Postgraduate,In couple,No child,No child,Stars,Adult,High income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
197,9938,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
198,6422,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
199,3182,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Biggest consumer
200,7300,Postgraduate,Alone,Has child,1 child,Stars,Senior,High income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
201,10424,Postgraduate,Alone,No child,No child,Stars,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
202,8727,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
203,2798,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
204,1030,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
205,624,Postgraduate,Alone,No child,No child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
206,5176,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
207,5552,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
208,868,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
209,380,Postgraduate,Alone,Has child,1 child,Need attention,Senior,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
210,2677,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Low consumer,Low consumer
211,6521,Postgraduate,In couple,No child,No child,Stars,Senior,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
212,6927,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
213,2877,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
214,0,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
215,1584,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
216,7264,Undergraduate,Alone,Has child,3 children,Leaky bucket,Adult,Medium to high income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
217,6274,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
218,1377,Postgraduate,Alone,Has child,1 child,Leaky bucket,Senior,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
219,454,Postgraduate,In couple,Has child,1 child,Need attention,Adult,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
220,1755,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
221,2075,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Low consumer
222,4785,Postgraduate,In couple,Has child,2 children,Stars,Mature,High income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
223,9076,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
224,7079,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
225,4653,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
226,7375,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer
227,709,Postgraduate,Alone,Has child,1 child,Need attention,Senior,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
228,460,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
229,3726,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer
230,6798,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
231,5341,Undergraduate,Alone,Has child,1 child,Need attention,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
232,1606,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
233,9617,Postgraduate,Alone,No child,No child,Leaky bucket,Senior,Low income,New customers,Non consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
234,3233,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
235,89,Undergraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
236,2936,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
